datetime,TEMPERATURE,WINDSPEED,HUMIDITY
2009-11-28,15,22,82
2009-11-29,20,23,84
2009-11-30,17,40,93
2009-12-01,12,21,80
2009-12-02,13,10,81
2009-12-03,15,20,87
2009-12-04,14,42,86
2009-12-05,12,17,77
2009-12-06,15,13,89
2009-12-07,16,18,94
2009-12-08,16,29,94
2009-12-09,14,19,82
2009-12-10,16,10,79
2009-12-11,18,12,87
2009-12-12,15,5,72
2009-12-13,11,18,91
2009-12-14,12,29,90
2009-12-15,11,26,85
2009-12-16,9,22,87
2009-12-17,9,23,86
2009-12-18,11,27,78
2009-12-19,7,22,76
2009-12-20,6,10,77
2009-12-21,15,28,79
2009-12-22,16,33,93
2009-12-23,16,26,89
2009-12-24,17,27,96
2009-12-25,16,31,93
2009-12-26,14,17,90
2009-12-27,12,32,82
2009-12-28,15,21,92
2009-12-29,15,16,96
2009-12-30,17,26,95
2009-12-31,17,23,96
2010-01-01,14,44,90
2010-01-02,10,41,62
2010-01-03,10,8,55
2010-01-04,13,23,94
2010-01-05,16,24,96
2010-01-06,10,19,89
2010-01-07,13,20,81
2010-01-08,14,29,95
2010-01-09,10,33,93
2010-01-10,6,26,91
2010-01-11,9,5,85
2010-01-12,9,13,83
2010-01-13,9,27,92
2010-01-14,11,23,90
2010-01-15,11,15,92
2010-01-16,11,12,86
2010-01-17,12,14,95
2010-01-18,11,10,90
2010-01-19,13,11,90
2010-01-20,13,14,93
2010-01-21,10,27,89
2010-01-22,11,7,85
2010-01-23,10,12,84
2010-01-24,12,9,86
2010-01-25,10,14,93
2010-01-26,11,18,90
2010-01-27,11,28,89
2010-01-28,14,24,83
2010-01-29,11,22,87
2010-01-30,11,33,89
2010-01-31,8,31,62
2010-02-01,8,14,57
2010-02-02,7,22,74
2010-02-03,11,22,88
2010-02-04,15,14,88
2010-02-05,14,27,97
2010-02-06,12,35,81
2010-02-07,12,15,87
2010-02-08,13,9,86
2010-02-09,11,26,90
2010-02-10,9,34,91
2010-02-11,8,28,85
2010-02-12,5,30,89
2010-02-13,8,14,88
2010-02-14,9,13,78
2010-02-15,9,13,85
2010-02-16,14,17,92
2010-02-17,13,24,94
2010-02-18,13,23,93
2010-02-19,17,47,95
2010-02-20,10,45,74
2010-02-21,12,21,81
2010-02-22,13,17,95
2010-02-23,15,27,93
2010-02-24,14,19,92
2010-02-25,16,20,85
2010-02-26,15,31,92
2010-02-27,14,11,77
2010-02-28,16,26,86
2010-03-01,14,16,94
2010-03-02,15,18,83
2010-03-03,19,30,83
2010-03-04,12,35,92
2010-03-05,11,18,87
2010-03-06,11,12,72
