datetime,TEMPERATURE,WINDSPEED,HUMIDITY
2009-11-12,16.0,10.0,83.0
2009-11-13,17.0,13.0,91.0
2009-11-14,19.0,14.0,91.0
2009-11-15,20.0,14.0,89.0
2009-11-16,21.0,17.0,87.0
2009-11-17,21.0,13.0,89.0
2009-11-18,20.0,13.0,65.0
2009-11-19,20.0,13.0,72.0
2009-11-20,19.0,14.0,80.0
2009-11-21,20.0,5.0,81.0
2009-11-22,22.0,13.0,87.0
2009-11-23,18.0,29.0,79.0
2009-11-24,17.0,29.0,80.0
2009-11-25,18.0,11.0,90.0
2009-11-26,18.0,19.0,90.0
2009-11-27,17.0,12.0,86.0
2009-11-28,15.0,22.0,82.0
2009-11-29,20.0,23.0,84.0
2009-11-30,17.0,40.0,93.0
2009-12-01,12.0,21.0,80.0
2009-12-02,13.0,10.0,81.0
2009-12-03,15.0,20.0,87.0
2009-12-04,14.0,42.0,86.0
2009-12-05,12.0,17.0,77.0
2009-12-06,15.0,13.0,89.0
2009-12-07,16.0,18.0,94.0
2009-12-08,16.0,29.0,94.0
2009-12-09,14.0,19.0,82.0
2009-12-10,16.0,10.0,79.0
2009-12-11,18.0,12.0,87.0
2009-12-12,15.0,5.0,72.0
2009-12-13,11.0,18.0,91.0
2009-12-14,12.0,29.0,90.0
2009-12-15,11.0,26.0,85.0
2009-12-16,9.0,22.0,87.0
2009-12-17,9.0,23.0,86.0
2009-12-18,11.0,27.0,78.0
2009-12-19,7.0,22.0,76.0
2009-12-20,6.0,10.0,77.0
2009-12-21,15.0,28.0,79.0
2009-12-22,16.0,33.0,93.0
2009-12-23,16.0,26.0,89.0
2009-12-24,17.0,27.0,96.0
2009-12-25,16.0,31.0,93.0
2009-12-26,14.0,17.0,90.0
2009-12-27,12.0,32.0,82.0
2009-12-28,15.0,21.0,92.0
2009-12-29,15.0,16.0,96.0
2009-12-30,17.0,26.0,95.0
2009-12-31,17.0,23.0,96.0
2010-01-01,14.0,44.0,90.0
2010-01-02,10.0,41.0,62.0
2010-01-03,10.0,8.0,55.0
2010-01-04,13.0,23.0,94.0
2010-01-05,16.0,24.0,96.0
2010-01-06,10.0,19.0,89.0
2010-01-07,13.0,20.0,81.0
2010-01-08,14.0,29.0,95.0
2010-01-09,10.0,33.0,93.0
2010-01-10,6.0,26.0,91.0
2010-01-11,9.0,5.0,85.0
2010-01-12,9.0,13.0,83.0
2010-01-13,9.0,27.0,92.0
