"2016-11-11",15,41,81
"2016-11-12",16,11,58
"2016-11-13",15,8,56
"2016-11-14",17,10,65
"2016-11-15",17,10,65
"2016-11-16",18,6,56
"2016-11-17",20,8,65
"2016-11-18",20,9,71
"2016-11-19",17,9,90
"2016-11-20",19,7,65
"2016-11-21",20,9,67
"2016-11-22",20,15,73
"2016-11-23",20,27,70
"2016-11-24",18,19,81
"2016-11-25",17,7,72
"2016-11-26",16,5,72
"2016-11-27",16,7,69
"2016-11-28",16,6,66
"2016-11-29",13,35,43
"2016-11-30",14,10,57
"2016-12-01",14,11,62
"2016-12-02",14,9,69
"2016-12-03",15,10,67
"2016-12-04",17,14,62
"2016-12-05",17,17,72
"2016-12-06",17,15,72
"2016-12-07",18,14,48
"2016-12-08",17,7,51
"2016-12-09",16,7,56
"2016-12-10",16,6,72
"2016-12-11",16,7,82
"2016-12-12",16,8,76
"2016-12-13",16,5,58
"2016-12-14",15,5,70
"2016-12-15",16,9,73
"2016-12-16",15,12,67
"2016-12-17",14,15,50
"2016-12-18",14,5,64
"2016-12-19",12,25,79
"2016-12-20",16,22,87
"2016-12-21",17,18,73
"2016-12-22",17,8,68
"2016-12-23",16,5,68
"2016-12-24",15,8,77
"2016-12-25",16,4,73
"2016-12-26",17,7,72
"2016-12-27",17,9,79
"2016-12-28",16,8,51
"2016-12-29",14,16,65
"2016-12-30",14,13,45
"2016-12-31",14,10,61
